Opportunity,Time,Stage,Action
OP001,43456.6055,1,Emailed Client
OP001,43466.19231,1,Emailed Client
OP001,43471.51592,2,Meeting with Client
OP001,43479.39509,3,Presented to Client
OP001,43483.32009,3,Presented to Client
OP001,43491.23536,3,Presented to Client
OP001,43492.82981,4,Prepared Custom Demonstration
OP001,43496.21384,5,Prepared POC
OP001,43505.60828,5,Prepared POC
OP001,43509.59647,6,Provided Pre-Sales Support
OP001,43515.23814,6,Provided Pre-Sales Support
OP001,43526.02147,6,Provided Pre-Sales Support
OP001,43536.79509,8,Prepared Commercials
OP001,43538.67772,9,Negotiation Meeting
OP001,43547.13675,9,Negotiation Meeting
OP001,43555.6055,11,Post Sales Support
OP001,43561.78884,11,Post Sales Support
OP002,43456.6055,1,Emailed Client
OP002,43466.56731,2,Meeting with Client
OP002,43474.66939,2,Meeting with Client
OP002,43485.56731,2,Meeting with Client
OP002,43487.45759,2,Meeting with Client
OP002,43491.68259,4,Prepared Custom Demonstration
OP002,43498.96453,4,Prepared Custom Demonstration
OP002,43500.32981,4,Prepared Custom Demonstration
OP002,43507.693,5,Prepared POC
OP002,43510.49161,6,Provided Pre-Sales Support
OP002,43515.22981,6,Provided Pre-Sales Support
OP002,43522.14578,6,Provided Pre-Sales Support
OP002,43530.368,7,Prepared RFP Responses
OP002,43531.42564,8,Prepared Commercials
OP002,43540.14439,8,Prepared Commercials
OP002,43541.94786,10,Commercials Signed
OP002,43547.81731,11,Post Sales Support
OP002,43550.24439,11,Post Sales Support
OP002,43558.49995,11,Post Sales Support
OP003,43457.6055,2,Meeting with Client
OP003,43459.32356,3,Presented to Client
OP003,43466.81939,3,Presented to Client
OP003,43469.71661,3,Presented to Client
OP003,43477.01245,4,Prepared Custom Demonstration
OP003,43484.31036,5,Prepared POC
OP003,43485.41522,7,Prepared RFP Responses
OP003,43495.45689,7,Prepared RFP Responses
OP003,43498.468,7,Prepared RFP Responses
OP003,43500.23814,7,Prepared RFP Responses
OP003,43508.60134,8,Prepared Commercials
OP003,43514.86731,8,Prepared Commercials
OP003,43517.92286,8,Prepared Commercials
OP003,43525.77564,11,Post Sales Support
OP003,43533.73189,11,Post Sales Support
OP003,43542.36661,11,Post Sales Support
OP004,43458.6055,3,Presented to Client
OP004,43466.27147,3,Presented to Client
OP004,43467.72911,3,Presented to Client
OP004,43473.06106,4,Prepared Custom Demonstration
OP004,43481.40759,5,Prepared POC
OP004,43489.66245,6,Provided Pre-Sales Support
OP004,43491.18467,7,Prepared RFP Responses
OP004,43498.01314,7,Prepared RFP Responses
OP004,43508.63536,8,Prepared Commercials
OP004,43516.79509,8,Prepared Commercials
OP004,43522.32981,9,Negotiation Meeting
OP004,43527.47147,10,Commercials Signed
OP004,43537.95897,10,Commercials Signed
OP004,43542.69161,11,Post Sales Support
OP005,43455.6055,1,Emailed Client
OP005,43456.84439,1,Emailed Client
OP005,43464.83259,2,Meeting with Client
OP005,43466.00689,2,Meeting with Client
OP005,43468.10134,3,Presented to Client
OP005,43469.20759,5,Prepared POC
OP005,43474.55064,6,Provided Pre-Sales Support
OP005,43484.75272,6,Provided Pre-Sales Support
OP005,43488.09995,6,Provided Pre-Sales Support
OP005,43498.89856,8,Prepared Commercials
OP005,43503.26939,9,Negotiation Meeting
OP005,43505.62147,11,Post Sales Support
OP006,43457.6055,1,Emailed Client
OP006,43464.968,1,Emailed Client
OP006,43470.95828,1,Emailed Client
OP006,43476.18884,1,Emailed Client
OP006,43482.87911,2,Meeting with Client
OP006,43490.39717,3,Presented to Client
OP006,43498.61661,3,Presented to Client
OP006,43509.58814,3,Presented to Client
OP006,43512.66939,3,Presented to Client
OP006,43518.75411,4,Prepared Custom Demonstration
OP006,43528.27078,4,Prepared Custom Demonstration
OP006,43535.61661,5,Prepared POC
OP006,43538.65064,5,Prepared POC
OP006,43545.0812,5,Prepared POC
OP006,43547.55272,6,Provided Pre-Sales Support
OP006,43557.42564,6,Provided Pre-Sales Support
OP006,43559.71036,7,Prepared RFP Responses
OP006,43563.05897,7,Prepared RFP Responses
OP006,43571.90064,8,Prepared Commercials
OP006,43579.50203,9,Negotiation Meeting
OP006,43589.30342,9,Negotiation Meeting
OP007,43457.6055,1,Emailed Client
OP007,43468.55342,1,Emailed Client
OP007,43474.92009,2,Meeting with Client
OP007,43476.04717,2,Meeting with Client
OP007,43482.1562,3,Presented to Client
OP007,43492.49856,3,Presented to Client
OP007,43500.72842,4,Prepared Custom Demonstration
OP007,43510.69856,6,Provided Pre-Sales Support
OP007,43520.66036,6,Provided Pre-Sales Support
OP007,43527.18884,6,Provided Pre-Sales Support
OP007,43534.40134,6,Provided Pre-Sales Support
OP007,43543.17009,7,Prepared RFP Responses
OP007,43545.3055,7,Prepared RFP Responses
OP007,43554.24578,7,Prepared RFP Responses
OP007,43557.57634,8,Prepared Commercials
OP007,43561.41731,10,Commercials Signed
OP007,43566.28259,11,Post Sales Support
OP008,43456.6055,2,Meeting with Client
OP008,43458.343,4,Prepared Custom Demonstration
OP008,43466.70272,4,Prepared Custom Demonstration
OP008,43467.74995,4,Prepared Custom Demonstration
OP008,43474.01661,5,Prepared POC
OP008,43475.70134,7,Prepared RFP Responses
OP008,43486.15064,7,Prepared RFP Responses
OP008,43496.50689,7,Prepared RFP Responses
OP008,43500.64092,8,Prepared Commercials
OP008,43502.80689,9,Negotiation Meeting
OP008,43504.00897,10,Commercials Signed
OP008,43513.31939,11,Post Sales Support
OP008,43520.69856,11,Post Sales Support
OP008,43528.63675,11,Post Sales Support
OP009,43455.6055,1,Emailed Client
OP009,43462.35481,2,Meeting with Client
OP009,43469.60134,2,Meeting with Client
OP009,43476.80967,3,Presented to Client
OP009,43483.51592,3,Presented to Client
OP009,43489.72356,5,Prepared POC
OP009,43500.08814,6,Provided Pre-Sales Support
OP009,43505.15828,7,Prepared RFP Responses
OP009,43508.55272,7,Prepared RFP Responses
OP009,43518.77286,7,Prepared RFP Responses
OP009,43522.21592,8,Prepared Commercials
OP009,43528.45064,10,Commercials Signed
OP009,43532.81661,10,Commercials Signed
OP009,43534.21036,10,Commercials Signed
OP009,43540.34092,10,Commercials Signed
OP009,43541.35759,11,Post Sales Support
OP009,43551.10828,11,Post Sales Support
OP010,43454.6055,2,Meeting with Client
OP010,43464.01939,3,Presented to Client
OP010,43467.5562,3,Presented to Client
OP010,43477.82286,3,Presented to Client
OP010,43481.10342,4,Prepared Custom Demonstration
OP010,43488.3687,4,Prepared Custom Demonstration
OP010,43490.36592,4,Prepared Custom Demonstration
OP010,43499.61939,5,Prepared POC
OP010,43510.61731,6,Provided Pre-Sales Support
OP010,43514.94578,6,Provided Pre-Sales Support
OP010,43521.2812,6,Provided Pre-Sales Support
OP010,43525.8937,8,Prepared Commercials
OP010,43531.74647,9,Negotiation Meeting
OP010,43541.80203,9,Negotiation Meeting
OP010,43545.85272,9,Negotiation Meeting
OP010,43549.25828,9,Negotiation Meeting
OP010,43552.32842,10,Commercials Signed
OP010,43558.10689,10,Commercials Signed
OP010,43562.51036,11,Post Sales Support
OP010,43565.00342,11,Post Sales Support
OP010,43566.2055,11,Post Sales Support
OP011,43458.6055,1,Emailed Client
OP011,43465.80064,3,Presented to Client
OP011,43469.08675,4,Prepared Custom Demonstration
OP011,43475.62425,4,Prepared Custom Demonstration
OP011,43482.14995,4,Prepared Custom Demonstration
OP011,43483.40342,4,Prepared Custom Demonstration
OP011,43490.77147,5,Prepared POC
OP011,43492.64995,5,Prepared POC
OP011,43503.05897,5,Prepared POC
OP011,43505.42147,6,Provided Pre-Sales Support
OP011,43515.98884,7,Prepared RFP Responses
OP011,43519.65272,7,Prepared RFP Responses
OP011,43524.8437,8,Prepared Commercials
OP011,43529.42286,9,Negotiation Meeting
OP011,43536.7305,9,Negotiation Meeting
OP011,43537.74925,9,Negotiation Meeting
OP011,43539.03814,10,Commercials Signed
OP011,43547.30897,10,Commercials Signed
OP011,43549.50134,11,Post Sales Support
OP012,43454.6055,2,Meeting with Client
OP012,43462.84509,3,Presented to Client
OP012,43472.09786,4,Prepared Custom Demonstration
OP012,43476.42495,4,Prepared Custom Demonstration
OP012,43482.49092,5,Prepared POC
OP012,43485.53953,7,Prepared RFP Responses
OP012,43492.75828,7,Prepared RFP Responses
OP012,43496.26314,8,Prepared Commercials
OP012,43503.59647,10,Commercials Signed
OP012,43507.57911,10,Commercials Signed
OP012,43510.96522,11,Post Sales Support
OP012,43515.52217,11,Post Sales Support
OP013,43458.6055,2,Meeting with Client
OP013,43461.11731,2,Meeting with Client
OP013,43470.53675,5,Prepared POC
OP013,43476.66384,5,Prepared POC
OP013,43479.66661,6,Provided Pre-Sales Support
OP013,43485.43814,7,Prepared RFP Responses
OP013,43489.94856,8,Prepared Commercials
OP013,43500.00897,8,Prepared Commercials
OP013,43503.32634,9,Negotiation Meeting
OP013,43504.5055,11,Post Sales Support
OP013,43511.77772,11,Post Sales Support
OP013,43521.8305,11,Post Sales Support
OP014,43455.6055,1,Emailed Client
OP014,43461.59022,1,Emailed Client
OP014,43464.69161,3,Presented to Client
OP014,43474.76314,3,Presented to Client
OP014,43476.97703,6,Provided Pre-Sales Support
OP014,43479.03536,6,Provided Pre-Sales Support
OP014,43487.32634,6,Provided Pre-Sales Support
OP014,43494.62772,7,Prepared RFP Responses
OP014,43502.62911,8,Prepared Commercials
OP014,43506.88189,8,Prepared Commercials
OP014,43513.0937,10,Commercials Signed
OP014,43515.28745,11,Post Sales Support
OP014,43519.19995,11,Post Sales Support
OP014,43524.26384,11,Post Sales Support
OP015,43455.6055,1,Emailed Client
OP015,43460.86314,1,Emailed Client
OP015,43471.45203,3,Presented to Client
OP015,43480.51245,3,Presented to Client
OP015,43483.57286,4,Prepared Custom Demonstration
OP015,43486.29022,6,Provided Pre-Sales Support
OP015,43491.59717,6,Provided Pre-Sales Support
OP015,43496.69022,7,Prepared RFP Responses
OP015,43505.87217,7,Prepared RFP Responses
OP015,43513.87911,7,Prepared RFP Responses
OP015,43524.34022,7,Prepared RFP Responses
OP015,43526.01175,9,Negotiation Meeting
OP015,43530.17981,10,Commercials Signed
OP015,43532.79925,11,Post Sales Support
OP015,43543.5305,11,Post Sales Support
OP016,43457.6055,1,Emailed Client
OP016,43464.97772,1,Emailed Client
OP016,43471.70828,2,Meeting with Client
OP016,43478.46453,2,Meeting with Client
OP016,43486.94092,2,Meeting with Client
OP016,43488.72564,3,Presented to Client
OP016,43498.23814,4,Prepared Custom Demonstration
OP016,43500.88397,5,Prepared POC
OP016,43503.24092,6,Provided Pre-Sales Support
OP016,43507.79231,7,Prepared RFP Responses
OP016,43518.13953,7,Prepared RFP Responses
OP016,43521.0437,7,Prepared RFP Responses
OP016,43530.54995,8,Prepared Commercials
OP016,43533.61245,9,Negotiation Meeting
OP016,43535.02009,9,Negotiation Meeting
OP016,43541.95411,10,Commercials Signed
OP016,43544.22009,10,Commercials Signed
OP016,43554.39161,10,Commercials Signed
OP016,43563.66245,11,Post Sales Support
OP016,43571.75481,11,Post Sales Support
OP017,43456.6055,1,Emailed Client
OP017,43462.793,2,Meeting with Client
OP017,43472.69578,3,Presented to Client
OP017,43478.66384,4,Prepared Custom Demonstration
OP017,43483.55203,5,Prepared POC
OP017,43492.62981,5,Prepared POC
OP017,43499.718,6,Provided Pre-Sales Support
OP017,43505.5055,8,Prepared Commercials
OP017,43508.19092,9,Negotiation Meeting
OP017,43514.98814,10,Commercials Signed
OP017,43522.92286,11,Post Sales Support
OP018,43455.6055,1,Emailed Client
OP018,43465.68467,1,Emailed Client
OP018,43475.12147,4,Prepared Custom Demonstration
OP018,43479.71384,4,Prepared Custom Demonstration
OP018,43481.0305,5,Prepared POC
OP018,43492.01731,5,Prepared POC
OP018,43493.55342,5,Prepared POC
OP018,43503.83536,5,Prepared POC
OP018,43514.81036,6,Provided Pre-Sales Support
OP018,43525.34161,6,Provided Pre-Sales Support
OP018,43534.29509,6,Provided Pre-Sales Support
OP018,43544.66731,6,Provided Pre-Sales Support
OP018,43549.19647,7,Prepared RFP Responses
OP018,43554.86522,7,Prepared RFP Responses
OP018,43558.01106,7,Prepared RFP Responses
OP018,43564.94786,7,Prepared RFP Responses
OP018,43569.83675,9,Negotiation Meeting
OP018,43579.4055,11,Post Sales Support
OP018,43586.768,11,Post Sales Support
OP019,43454.6055,2,Meeting with Client
OP019,43456.02772,2,Meeting with Client
OP019,43461.82842,2,Meeting with Client
OP019,43467.26175,3,Presented to Client
OP019,43470.76036,3,Presented to Client
OP019,43478.12147,3,Presented to Client
OP019,43487.72078,3,Presented to Client
OP019,43494.54161,4,Prepared Custom Demonstration
OP019,43496.22911,6,Provided Pre-Sales Support
OP019,43501.72356,6,Provided Pre-Sales Support
OP019,43504.64092,7,Prepared RFP Responses
OP019,43506.73328,7,Prepared RFP Responses
OP019,43517.03467,8,Prepared Commercials
OP019,43524.34856,8,Prepared Commercials
OP019,43533.7305,8,Prepared Commercials
OP019,43538.82425,9,Negotiation Meeting
OP019,43548.95342,10,Commercials Signed
OP019,43558.43606,10,Commercials Signed
OP019,43560.9812,11,Post Sales Support
OP020,43455.6055,2,Meeting with Client
OP020,43466.01453,2,Meeting with Client
OP020,43469.62634,2,Meeting with Client
OP020,43479.69786,3,Presented to Client
OP020,43483.9812,3,Presented to Client
OP020,43488.16106,4,Prepared Custom Demonstration
OP020,43490.84647,4,Prepared Custom Demonstration
OP020,43494.82147,4,Prepared Custom Demonstration
OP020,43503.08259,6,Provided Pre-Sales Support
OP020,43510.37634,7,Prepared RFP Responses
OP020,43518.91661,9,Negotiation Meeting
OP020,43522.39856,9,Negotiation Meeting
OP020,43532.81661,10,Commercials Signed
OP020,43535.03259,11,Post Sales Support
OP020,43544.51453,11,Post Sales Support
OP020,43553.76245,11,Post Sales Support
OP021,43458.6055,2,Meeting with Client
OP021,43467.35203,2,Meeting with Client
OP021,43478.1687,3,Presented to Client
OP021,43486.76175,4,Prepared Custom Demonstration
OP021,43493.41939,5,Prepared POC
OP021,43499.7437,5,Prepared POC
OP021,43509.33814,6,Provided Pre-Sales Support
OP021,43518.593,6,Provided Pre-Sales Support
OP021,43520.79647,6,Provided Pre-Sales Support
OP021,43524.05272,6,Provided Pre-Sales Support
OP021,43533.19231,7,Prepared RFP Responses
OP021,43538.22981,7,Prepared RFP Responses
OP021,43543.19161,7,Prepared RFP Responses
OP021,43547.16661,8,Prepared Commercials
OP021,43548.71522,9,Negotiation Meeting
OP021,43554.56453,9,Negotiation Meeting
OP021,43562.66384,9,Negotiation Meeting
OP021,43570.87495,11,Post Sales Support
OP021,43574.81661,11,Post Sales Support
OP022,43458.6055,2,Meeting with Client
OP022,43459.74161,3,Presented to Client
OP022,43465.92842,4,Prepared Custom Demonstration
OP022,43474.98814,4,Prepared Custom Demonstration
OP022,43477.3555,4,Prepared Custom Demonstration
OP022,43479.09022,6,Provided Pre-Sales Support
OP022,43489.05064,6,Provided Pre-Sales Support
OP022,43497.82078,7,Prepared RFP Responses
OP022,43499.2055,7,Prepared RFP Responses
OP022,43501.62147,7,Prepared RFP Responses
OP022,43504.02009,9,Negotiation Meeting
OP022,43514.92634,10,Commercials Signed
OP022,43518.31245,10,Commercials Signed
OP022,43523.24995,11,Post Sales Support
OP023,43456.6055,1,Emailed Client
OP023,43467.4312,2,Meeting with Client
OP023,43470.67564,2,Meeting with Client
OP023,43479.91314,3,Presented to Client
OP023,43490.43259,4,Prepared Custom Demonstration
OP023,43493.85272,5,Prepared POC
OP023,43503.25203,7,Prepared RFP Responses
OP023,43511.92772,7,Prepared RFP Responses
OP023,43521.71175,7,Prepared RFP Responses
OP023,43529.28467,7,Prepared RFP Responses
OP023,43536.60759,7,Prepared RFP Responses
OP023,43547.39022,8,Prepared Commercials
OP023,43553.293,10,Commercials Signed
OP023,43554.38259,10,Commercials Signed
OP023,43557.47495,11,Post Sales Support
OP024,43458.6055,2,Meeting with Client
OP024,43469.40134,2,Meeting with Client
OP024,43471.66384,2,Meeting with Client
OP024,43473.80134,3,Presented to Client
OP024,43480.87147,3,Presented to Client
OP024,43489.06384,4,Prepared Custom Demonstration
OP024,43497.58397,4,Prepared Custom Demonstration
OP024,43504.98606,5,Prepared POC
OP024,43510.17078,5,Prepared POC
OP024,43520.63536,6,Provided Pre-Sales Support
OP024,43527.50064,6,Provided Pre-Sales Support
OP024,43528.52009,6,Provided Pre-Sales Support
OP024,43534.95481,8,Prepared Commercials
OP024,43537.72564,9,Negotiation Meeting
OP024,43548.72495,9,Negotiation Meeting
OP024,43558.38745,10,Commercials Signed
OP025,43458.6055,3,Presented to Client
OP025,43460.0555,3,Presented to Client
OP025,43461.11939,3,Presented to Client
OP025,43471.36939,4,Prepared Custom Demonstration
OP025,43473.53259,5,Prepared POC
OP025,43478.97772,6,Provided Pre-Sales Support
OP025,43481.10689,6,Provided Pre-Sales Support
OP025,43488.07356,7,Prepared RFP Responses
OP025,43496.04161,8,Prepared Commercials
OP025,43497.5687,8,Prepared Commercials
OP025,43500.09022,8,Prepared Commercials
OP026,43458.6055,1,Emailed Client
OP026,43465.56175,2,Meeting with Client
OP026,43474.65272,2,Meeting with Client
OP026,43476.50759,4,Prepared Custom Demonstration
OP026,43478.73467,5,Prepared POC
OP026,43486.81522,6,Provided Pre-Sales Support
OP026,43488.42495,6,Provided Pre-Sales Support
OP026,43493.82286,6,Provided Pre-Sales Support
OP026,43502.38814,7,Prepared RFP Responses
OP026,43508.81731,7,Prepared RFP Responses
OP026,43517.24786,8,Prepared Commercials
OP026,43518.71453,8,Prepared Commercials
OP026,43529.10897,9,Negotiation Meeting
OP026,43537.4305,10,Commercials Signed
OP026,43541.53675,11,Post Sales Support
OP026,43550.87286,11,Post Sales Support
OP027,43454.6055,1,Emailed Client
OP027,43461.39161,1,Emailed Client
OP027,43464.70759,1,Emailed Client
OP027,43472.87009,3,Presented to Client
OP027,43479.33328,4,Prepared Custom Demonstration
OP027,43488.82634,5,Prepared POC
OP027,43496.88606,5,Prepared POC
OP027,43498.7187,6,Provided Pre-Sales Support
OP027,43505.84092,6,Provided Pre-Sales Support
OP027,43506.87009,6,Provided Pre-Sales Support
OP027,43509.70411,7,Prepared RFP Responses
OP027,43514.71314,7,Prepared RFP Responses
OP027,43516.84995,8,Prepared Commercials
OP027,43526.65689,9,Negotiation Meeting
OP027,43535.22842,9,Negotiation Meeting
OP027,43544.06036,9,Negotiation Meeting
OP027,43549.10481,10,Commercials Signed
OP027,43554.85759,10,Commercials Signed
OP027,43557.54092,10,Commercials Signed
OP027,43558.71175,10,Commercials Signed
OP027,43563.07703,11,Post Sales Support
OP028,43456.6055,1,Emailed Client
OP028,43462.66592,2,Meeting with Client
OP028,43469.38606,3,Presented to Client
OP028,43479.22564,4,Prepared Custom Demonstration
OP028,43484.28675,5,Prepared POC
OP028,43491.79995,5,Prepared POC
OP028,43493.3437,5,Prepared POC
OP028,43495.11036,5,Prepared POC
OP028,43497.15759,7,Prepared RFP Responses
OP028,43501.47842,7,Prepared RFP Responses
OP028,43507.69856,8,Prepared Commercials
OP028,43512.94995,9,Negotiation Meeting
OP028,43517.26731,9,Negotiation Meeting
OP028,43525.87981,10,Commercials Signed
OP028,43529.1187,11,Post Sales Support
OP029,43456.6055,1,Emailed Client
OP029,43465.96939,2,Meeting with Client
OP029,43476.66106,3,Presented to Client
OP029,43479.96245,5,Prepared POC
OP029,43481.85411,5,Prepared POC
OP029,43485.95481,5,Prepared POC
OP029,43493.46384,7,Prepared RFP Responses
OP029,43501.24578,7,Prepared RFP Responses
OP029,43505.98606,8,Prepared Commercials
OP029,43508.12425,8,Prepared Commercials
OP029,43519.11592,9,Negotiation Meeting
OP029,43525.3055,9,Negotiation Meeting
OP029,43527.55689,9,Negotiation Meeting
OP029,43537.39161,10,Commercials Signed
OP029,43540.68397,10,Commercials Signed
OP029,43543.70967,10,Commercials Signed
OP030,43457.6055,1,Emailed Client
OP030,43464.62981,1,Emailed Client
OP030,43473.30411,2,Meeting with Client
OP030,43475.61661,2,Meeting with Client
OP030,43483.98467,2,Meeting with Client
OP030,43485.40134,3,Presented to Client
OP030,43493.51384,3,Presented to Client
OP030,43497.80689,3,Presented to Client
OP030,43505.77217,3,Presented to Client
OP030,43513.18397,4,Prepared Custom Demonstration
OP030,43522.63953,4,Prepared Custom Demonstration
OP030,43524.0687,5,Prepared POC
OP030,43532.57425,5,Prepared POC
OP030,43534.53606,5,Prepared POC
OP030,43538.70759,7,Prepared RFP Responses
OP030,43546.13189,9,Negotiation Meeting
OP030,43549.37009,9,Negotiation Meeting
OP030,43556.27217,9,Negotiation Meeting
OP030,43563.56384,10,Commercials Signed
OP030,43567.93745,10,Commercials Signed
OP031,43457.6055,1,Emailed Client
OP031,43467.74647,1,Emailed Client
OP031,43477.27147,1,Emailed Client
OP031,43484.52772,2,Meeting with Client
OP031,43494.22772,4,Prepared Custom Demonstration
OP031,43502.39161,6,Provided Pre-Sales Support
OP031,43512.91939,8,Prepared Commercials
